id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
602,Soda chanh muối,thức uống,"Soda, Chanh, Muối, Đá","Chanh (Nhiều/Ít), Muối (Nhiều/Ít), Đá (Nhiều/Ít/Không)","{""chanh"": [""nhiều"", ""ít""], ""muối"": [""nhiều"", ""ít""], ""đá"": [""nhiều"", ""ít"", ""không""]}","Soda chanh muối là thức uống chua mặn, giải khát mạnh. Phù hợp thời tiết nóng; không phù hợp người cao huyết áp.","{""type"":""thức uống"",""taste"":[""sour"",""salty""],""ingredients"":[""soda"",""chanh"",""muối"",""đá""],""options"":[""Chanh (Nhiều/Ít)"",""Muối (Nhiều/Ít)"",""Đá (Nhiều/Ít/Không)""],""suitable_for"":[""hot_weather"",""body_heat""],""avoid_for"":[""high_blood_pressure"",""gastritis""]}","{""good_for"":[""hot_weather"",""body_heat""],""bad_for"":[""high_blood_pressure"",""gastritis""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":true,""portable"":true,""short_lunch_break"":true}",
603,Cơm chiên chà bông,đồ ăn,"Cơm nguội, Chà bông, Trứng, Hành lá, Nước tương, Dầu mè","Chà bông (Nhiều/Ít), Hành lá (Nhiều/Ít/Không)","{""chà_bông"": [""nhiều"", ""ít""], ""hành_lá"": [""nhiều"", ""ít"", ""không""]}","Cơm chiên chà bông là món khô mặn nhẹ, tiện lợi và nhanh. Không phù hợp người cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""savory"",""salty""],""ingredients"":[""cơm nguội"",""chà bông"",""trứng"",""hành lá"",""nước tương"",""dầu mè""],""options"":[""Chà bông (Nhiều/Ít)"",""Hành lá (Nhiều/Ít/Không)""],""suitable_for"":[""on_the_go"",""in_a_hurry""],""avoid_for"":[""high_blood_pressure""]}","{""good_for"":[""on_the_go"",""in_a_hurry""],""bad_for"":[""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":true,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":false,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
604,Cơm chiên bò trứng,đồ ăn,"Cơm nguội, Thịt bò, Trứng, Hành tây, Tỏi, Hành lá","Thịt bò (Nhiều/Ít), Hành lá (Nhiều/Ít/Không)","{""thịt_bò"": [""nhiều"", ""ít""], ""hành_lá"": [""nhiều"", ""ít"", ""không""]}",Cơm chiên bò trứng là món mặn đậm đà và nhiều năng lượng. Không phù hợp người béo phì hoặc mỡ máu.,"{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""cơm nguội"",""thịt bò"",""trứng"",""hành tây"",""tỏi"",""hành lá""],""options"":[""Thịt bò (Nhiều/Ít)"",""Hành lá (Nhiều/Ít/Không)""],""suitable_for"":[],""avoid_for"":[""obesity"",""fatty_liver"",""high_cholesterol""]}","{""good_for"":[],""bad_for"":[""obesity"",""fatty_liver"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
605,Bún chả giò tôm thịt,đồ ăn,"Bún, Chả giò, Tôm, Thịt nướng, Rau sống, Nước mắm","Rau sống (Nhiều/Ít/Không), Nước mắm (Nhiều/Ít)","{""rau_sống"": [""nhiều"", ""ít"", ""không""], ""nước_mắm"": [""nhiều"", ""ít""]}","Bún chả giò tôm thịt là món khô mặn ngọt, dễ ăn. Không phù hợp người dị ứng hải sản hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""savory"",""sweet""],""ingredients"":[""bún"",""chả giò"",""tôm"",""thịt nướng"",""rau sống"",""nước mắm""],""options"":[""Rau sống (Nhiều/Ít/Không)"",""Nước mắm (Nhiều/Ít)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""seafood_allergy"",""high_blood_pressure"",""fatty_liver""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""seafood_allergy"",""high_blood_pressure"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
606,Bún mắm chay,đồ ăn,"Bún, Nước mắm chay, Nấm, Cà tím, Rau thơm","Rau thơm (Nhiều/Ít/Không), Nước mắm chay (Nhiều/Ít)","{""rau_thơm"": [""nhiều"", ""ít"", ""không""], ""nước_mắm_chay"": [""nhiều"", ""ít""]}","Bún mắm chay là món chay đậm mùi, mặn nhẹ và dễ ăn. Không phù hợp người dạ dày yếu hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""savory"",""salty""],""ingredients"":[""bún"",""nước mắm chay"",""nấm"",""cà tím"",""rau thơm""],""options"":[""Rau thơm (Nhiều/Ít/Không)"",""Nước mắm chay (Nhiều/Ít)""],""suitable_for"":[""vegetarian""],""avoid_for"":[""high_blood_pressure"",""gastritis""]}","{""good_for"":[""vegetarian""],""bad_for"":[""high_blood_pressure"",""gastritis""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
607,Bún gà cà ri,đồ ăn,"Bún, Thịt gà, Nước cà ri, Khoai tây, Cà rốt, Hành tây",Rau (Nhiều/Ít/Không),"{""rau"": [""nhiều"", ""ít"", ""không""]}","Bún gà cà ri là món nước cay béo, giàu năng lượng. Không phù hợp người dạ dày yếu hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""spicy"",""savory""],""ingredients"":[""bún"",""gà"",""nước cà ri"",""khoai tây"",""cà rốt"",""hành tây""],""options"":[""Rau (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
608,Mì xào giòn,đồ ăn,"Mì trứng chiên giòn, Hải sản, Rau cải, Cà rốt, Bông cải",Rau (Nhiều/Ít/Không),"{""rau"": [""nhiều"", ""ít"", ""không""]}","Mì xào giòn là món rán giòn, nhiều dầu, topping hải sản. Không phù hợp người dị ứng hải sản hoặc béo phì.","{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""mì trứng chiên giòn"",""hải sản"",""rau cải"",""cà rốt"",""bông cải""],""options"":[""Rau (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""seafood_allergy"",""obesity"",""fatty_liver""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""seafood_allergy"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
609,Mì xào trứng muối,đồ ăn,"Mì trứng, Sốt trứng muối, Tôm, Hành tỏi, Ớt","Sốt trứng muối (Nhiều/Ít), Ớt (Nhiều/Ít/Không)","{""sốt_trứng_muối"": [""nhiều"", ""ít""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Mì xào trứng muối là món béo mặn, đậm đà. Không phù hợp người cao huyết áp, béo phì hoặc dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""salty""],""ingredients"":[""mì trứng"",""sốt trứng muối"",""tôm"",""hành tỏi"",""ớt""],""options"":[""Sốt trứng muối (Nhiều/Ít)"",""Ớt (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""seafood_allergy""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""high_blood_pressure"",""obesity"",""fatty_liver"",""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
610,Mì hến cay,đồ ăn,"Mì, Hến, Hành tỏi, Ớt, Rau răm","Ớt (Nhiều/Ít/Không), Rau răm (Nhiều/Ít/Không)","{""ớt"": [""nhiều"", ""ít"", ""không""], ""rau_răm"": [""nhiều"", ""ít"", ""không""]}","Mì hến cay là món cay mặn, đậm đà. Không phù hợp người dị ứng hải sản, dạ dày yếu hoặc cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""spicy"",""savory""],""ingredients"":[""mì"",""hến"",""hành tỏi"",""ớt"",""rau răm""],""options"":[""Ớt (Nhiều/Ít/Không)"",""Rau răm (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""seafood_allergy"",""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""seafood_allergy"",""gastritis"",""weak_stomach"",""high_blood_pressure""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
611,Canh cải bó xôi thịt bằm,đồ ăn,"Cải bó xôi, Thịt bằm, Tỏi, Hành lá, Gia vị",Hành lá (Nhiều/Ít/Không),"{""hành_lá"": [""nhiều"", ""ít"", ""không""]}","Canh cải bó xôi thịt bằm là món thanh, bổ sắt và dễ tiêu. Rất phù hợp người thiếu máu và dạ dày yếu.","{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""cải bó xôi"",""thịt bằm"",""tỏi"",""hành lá""],""options"":[""Hành lá (Nhiều/Ít/Không)""],""suitable_for"":[""anemia"",""poor_digestive_system"",""weak_stomach""],""avoid_for"":[]}","{""good_for"":[""anemia"",""poor_digestive_system"",""weak_stomach""],""bad_for"":[]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
612,Canh mướp hương tôm,đồ ăn,"Mướp hương, Tôm tươi, Hành, Ngò, Gia vị",Hành/Ngò (Nhiều/Ít/Không),"{""hành_ngò"": [""nhiều"", ""ít"", ""không""]}","Canh mướp hương tôm là món thanh, ngọt nhẹ và dễ tiêu. Phù hợp người tiêu hóa kém; không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""sweet""],""ingredients"":[""mướp hương"",""tôm"",""hành"",""ngò""],""options"":[""Hành/Ngò (Nhiều/Ít/Không)""],""suitable_for"":[""poor_digestive_system"",""weak_stomach""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""poor_digestive_system"",""weak_stomach""],""bad_for"":[""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
613,Canh ngót cá chẽm,đồ ăn,"Cá chẽm, Cà chua, Hành, Cần, Rau ngót","Rau ngót (Nhiều/Ít/Không), Hành(Nhiều/Ít/Không), Cần (Nhiều/Ít/Không)","{""rau_ngót"": [""nhiều"", ""ít"", ""không""], ""hành"": [""nhiều"", ""ít"", ""không""], ""cần"": [""nhiều"", ""ít"", ""không""]}","Canh ngót cá chẽm là món nóng thanh, dễ tiêu và giàu đạm nhẹ. Phù hợp người dạ dày yếu; không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory"",""fresh""],""ingredients"":[""cá chẽm"",""cà chua"",""hành"",""cần"",""rau ngót""],""options"":[""Rau ngót (Nhiều/Ít/Không)"",""Hành (Nhiều/Ít/Không)"",""Cần (Nhiều/Ít/Không)""],""suitable_for"":[""poor_digestive_system"",""weak_stomach""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""poor_digestive_system"",""weak_stomach""],""bad_for"":[""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
614,Canh rau má chay,đồ ăn,"Rau má, Nấm, Đậu hũ, Cà rốt, Hành","Nấm (Nhiều/Ít), Đậu hũ (Nhiều/Ít), Hành (Nhiều/Ít/Không)","{""nấm"": [""nhiều"", ""ít""], ""đậu_hũ"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""]}","Canh rau má chay là món mát, thanh lọc và dễ tiêu. Không phù hợp người tiêu chảy.","{""type"":""đồ ăn"",""taste"":[""fresh"",""savory""],""ingredients"":[""rau má"",""nấm"",""đậu hũ"",""cà rốt"",""hành""],""options"":[""Nấm (Nhiều/Ít)"",""Đậu hũ (Nhiều/Ít)"",""Hành (Nhiều/Ít/Không)""],""suitable_for"":[""poor_digestive_system"",""weak_stomach"",""hot_weather""],""avoid_for"":[""diarrhea""]}","{""good_for"":[""poor_digestive_system"",""weak_stomach"",""hot_weather""],""bad_for"":[""diarrhea""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
615,Canh củ sen sườn non,đồ ăn,"Củ sen, Sườn non, Cà rốt, Hành, Gia vị",Hành (Nhiều/Ít/Không),"{""hành"": [""nhiều"", ""ít"", ""không""]}","Canh củ sen sườn non là món bổ, thanh và giúp ổn định tiêu hóa. Phù hợp người thiếu máu và dạ dày yếu.","{""type"":""đồ ăn"",""taste"":[""savory"",""sweet""],""ingredients"":[""củ sen"",""sườn non"",""cà rốt"",""hành""],""options"":[""Hành (Nhiều/Ít/Không)""],""suitable_for"":[""anemia"",""poor_digestive_system"",""weak_stomach""],""avoid_for"":[]}","{""good_for"":[""anemia"",""poor_digestive_system"",""weak_stomach""],""bad_for"":[]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
616,Cá ngừ kho thơm,đồ ăn,"Cá ngừ, Thơm, Ớt, Hành tỏi, Tiêu","Thơm (Nhiều/Ít), Ớt (Nhiều/Ít/Không), Tiêu (Nhiều/Ít/Không)","{""thơm"": [""nhiều"", ""ít""], ""ớt"": [""nhiều"", ""ít"", ""không""], ""tiêu"": [""nhiều"", ""ít"", ""không""]}",Cá ngừ kho thơm là món mặn đậm nhưng dễ ăn do vị thơm chua nhẹ. Không phù hợp người cao huyết áp hoặc dị ứng hải sản.,"{""type"":""đồ ăn"",""taste"":[""savory"",""sweet"",""sour""],""ingredients"":[""cá ngừ"",""thơm"",""ớt"",""hành tỏi"",""tiêu""],""options"":[""Thơm (Nhiều/Ít)"",""Ớt (Nhiều/Ít/Không)"",""Tiêu (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""high_blood_pressure"",""seafood_allergy""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""high_blood_pressure"",""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
617,Cá bống kho tộ,đồ ăn,"Cá bống, Hành, Tiêu, Nước mắm, Ớt","Tiêu (Nhiều/Ít/Không), Ớt (Nhiều/Ít/Không)","{""tiêu"": [""nhiều"", ""ít"", ""không""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Cá bống kho tộ là món mặn đậm và thơm, ăn đưa cơm. Không phù hợp người cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""salty"",""savory""],""ingredients"":[""cá bống"",""hành"",""tiêu"",""nước mắm"",""ớt""],""options"":[""Tiêu (Nhiều/Ít/Không)"",""Ớt (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""high_blood_pressure"",""seafood_allergy""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""high_blood_pressure"",""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
618,Thịt heo kho gừng,đồ ăn,"Thịt heo, Gừng, Hành tỏi, Nước mắm, Tiêu","Gừng (Nhiều/Ít), Tiêu (Nhiều/Ít/Không)","{""gừng"": [""nhiều"", ""ít""], ""tiêu"": [""nhiều"", ""ít"", ""không""]}","Thịt heo kho gừng là món ấm, chống lạnh và dễ tiêu. Không phù hợp người cao huyết áp.","{""type"":""đồ ăn"",""taste"":[""savory"",""spicy""],""ingredients"":[""thịt heo"",""gừng"",""hành tỏi"",""nước mắm"",""tiêu""],""options"":[""Gừng (Nhiều/Ít)"",""Tiêu (Nhiều/Ít/Không)""],""suitable_for"":[""poor_digestive_system"",""cold_weather""],""avoid_for"":[""high_blood_pressure"",""heart_disease""]}","{""good_for"":[""poor_digestive_system"",""cold_weather""],""bad_for"":[""high_blood_pressure"",""heart_disease""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
619,Bò kho tiêu,đồ ăn,"Thịt bò, Tiêu, Hành, Tỏi, Nước tương","Tiêu (Nhiều/Ít), Hành/Tỏi (Nhiều/Ít/Không)","{""tiêu"": [""nhiều"", ""ít""], ""hành_tỏi"": [""nhiều"", ""ít"", ""không""]}","Bò kho tiêu là món đậm đà, hơi cay ấm. Không phù hợp người cao huyết áp hoặc bệnh tim.","{""type"":""đồ ăn"",""taste"":[""savory"",""spicy""],""ingredients"":[""thịt bò"",""tiêu"",""hành"",""tỏi"",""nước tương""],""options"":[""Tiêu (Nhiều/Ít)"",""Hành/Tỏi (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""high_blood_pressure"",""heart_disease"",""fatty_liver""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""high_blood_pressure"",""heart_disease"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
620,Tôm xào trứng muối,đồ ăn,"Tôm, Trứng muối, Hành tỏi, Ớt, Dầu hào","Trứng muối (Nhiều/Ít), Dầu hào (Nhiều/Ít), Ớt (Nhiều/Ít/Không)","{""trứng_muối"": [""nhiều"", ""ít""], ""dầu_hào"": [""nhiều"", ""ít""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Tôm xào trứng muối là món béo mặn, đậm đà. Không phù hợp người cao huyết áp, dị ứng hải sản hoặc béo phì.","{""type"":""đồ ăn"",""taste"":[""savory"",""salty""],""ingredients"":[""tôm"",""trứng muối"",""hành tỏi"",""ớt"",""dầu hào""],""options"":[""Trứng muối (Nhiều/Ít)"",""Dầu hào (Nhiều/Ít)"",""Ớt (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""high_blood_pressure"",""seafood_allergy"",""obesity"",""fatty_liver""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""high_blood_pressure"",""seafood_allergy"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
621,Mực xào hành tỏi,đồ ăn,"Mực, Hành, Tỏi, Dầu ăn, Gia vị","Hành (Nhiều/Ít/Không), Tỏi (Nhiều/Ít)","{""hành"": [""nhiều"", ""ít"", ""không""], ""tỏi"": [""nhiều"", ""ít""]}","Mực xào hành tỏi là món mặn nhẹ, thơm và giàu đạm. Không phù hợp người dị ứng hải sản.","{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""mực"",""hành"",""tỏi"",""dầu ăn""],""options"":[""Hành (Nhiều/Ít/Không)"",""Tỏi (Nhiều/Ít)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""seafood_allergy""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
622,Gà chiên giòn sốt cay,đồ ăn,"Gà chiên, Sốt cay, Tỏi, Ớt, Hành","Sốt cay (Nhiều/Ít), Hành (Nhiều/Ít/Không), Ớt (Nhiều/Ít/Không)","{""sốt_cay"": [""nhiều"", ""ít""], ""hành"": [""nhiều"", ""ít"", ""không""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Gà chiên sốt cay là món chiên béo và cay. Không phù hợp người dạ dày yếu, cao huyết áp hoặc béo phì.","{""type"":""đồ ăn"",""taste"":[""spicy"",""savory""],""ingredients"":[""gà chiên"",""sốt cay"",""tỏi"",""ớt"",""hành""],""options"":[""Sốt cay (Nhiều/Ít)"",""Hành (Nhiều/Ít/Không)"",""Ớt (Nhiều/Ít/Không)""],""suitable_for"":[""low_blood_pressure""],""avoid_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure"",""obesity"",""fatty_liver""]}","{""good_for"":[""low_blood_pressure""],""bad_for"":[""gastritis"",""weak_stomach"",""high_blood_pressure"",""obesity"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":false,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
623,Đậu hũ sốt nấm đông cô,đồ ăn,"Đậu hũ, Nấm đông cô, Hành, Dầu hào, Tỏi","Hành (Nhiều/Ít/Không), Dầu hào(Nhiều/Ít)","{""hành"": [""nhiều"", ""ít"", ""không""], ""dầu_hào"": [""nhiều"", ""ít""]}","Đậu hũ sốt nấm đông cô là món chay mềm, dễ tiêu. Phù hợp người hệ tiêu hóa kém.","{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""đậu hũ"",""nấm đông cô"",""hành"",""dầu hào"",""tỏi""],""options"":[""Hành (Nhiều/Ít/Không)"",""Dầu hào (Nhiều/Ít)""],""suitable_for"":[""poor_digestive_system"",""weak_stomach"",""vegetarian""],""avoid_for"":[]}","{""good_for"":[""poor_digestive_system"",""weak_stomach"",""vegetarian""],""bad_for"":[]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":false,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
